MeJA roots 1,Retention Time 1,Area roots 1,MeJA roots 2,Retention Time 2,Area roots 2,MeJA roots 3,Retention Time 3,Area roots 3,MeJA roots 4,Retention Time 4,Area roots 4,Signal: 210331_001.D\FID1A.ch,Signal: 210401_001.D\FID1A.ch,Signal: 210401_003.D\FID1A.ch,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Signal: 210401_015.D\FID1A.ch,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Signal: 210331_006.D\FID1A.ch,Signal: 210401_006.D\FID1A.ch,Signal: 210401_008.D\FID1A.ch,Signal: 210331_008.D\FID1A.ch,Column 38,Column 39,Column 40,Column 41,Column 42,Column 43,Signal: 210331_005.D\FID1A.ch,Signal: 210401_005.D\FID1A.ch,Signal: 210401_007.D\FID1A.ch,Signal: 210331_007.D\FID1A.ch,Column 44,Column 45,Column 46,Column 47,Column 48,Column 49,Signal: 210331_010.D\FID1A.ch,Signal: 210401_010.D\FID1A.ch,Signal: 210401_012.D\FID1A.ch,Signal: 210331_012.D\FID1A.ch,Column 50,Column 51,Column 52,Column 53,Column 54,Column 55,Signal: 210331_009.D\FID1A.ch,Signal: 210401_009.D\FID1A.ch,Signal: 210401_011.D\FID1A.ch,Signal: 210331_011.D\FID1A.ch,Column 56,Column 57,Column 58,Column 59,Column 60,Column 61
 MeJA roots 1,,, MeJA roots 2,,,MeJA roots 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak #,Ret Time,Area,Peak #,Ret Time,Area,Peak #,Ret Time,Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.822,25686263373,1,1.824,24486409862,1,1.822,24449538544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.862,199897909158,2,1.864,197987378747,2,1.86,204227479797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3.886,11386591864,3,3.886,11216940252,3,3.885,11501295305,Signal: 210331_004.D\FID1A.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,11.667,131105901,4,11.674,113746250,4,11.659,79259676,MeJA roots 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12.231,4437609,5,12.248,3507397,5,13.002,17728172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12.984,20076898,6,12.991,19805084,6,13.671,17651617,Peak #,Ret Time,Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,13.483,62732905,7,13.664,30269642,7,14.978,4641174,1,1.822,25551949209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
